tripid,lat,lng,pdatetime,speed,rid,highway
1121515,41.081602,-81.5156835,12/15/2015 16:39,10.44957676,272717986,primary
1121515,41.081692,-81.5156455,12/15/2015 16:39,10.49848923,272717986,primary
1121515,41.081782,-81.5156075,12/15/2015 16:39,10.44071861,272717986,primary
1121515,41.081871,-81.51557,12/15/2015 16:39,10.51832979,272717986,primary
1121515,41.0819625,-81.515535,12/15/2015 16:39,10.51628997,191417771,tertiary
1121515,41.082051,-81.515496,12/15/2015 16:39,10.51673705,272717986,primary
1121515,41.082142,-81.5154565,12/15/2015 16:39,10.76641981,272717986,primary
1121515,41.082233,-81.5154095,12/15/2015 16:39,10.91138155,272717986,primary
1121515,41.082325,-81.5153655,12/15/2015 16:39,10.98354467,272717986,primary
1121515,41.082419,-81.515324,12/15/2015 16:39,11.00710781,272717986,primary
1121515,41.082512,-81.515282,12/15/2015 16:39,10.87406525,272717986,primary
1121515,41.0826035,-81.515241,12/15/2015 16:39,10.57700872,272717986,primary
1121515,41.0826915,-81.5152,12/15/2015 16:39,10.24305521,272717986,primary
1121515,41.082777,-81.515161,12/15/2015 16:39,10.05017674,272717986,primary
1121515,41.082862,-81.515122,12/15/2015 16:39,9.816478255,272717986,primary
1121515,41.0829425,-81.51508,12/15/2015 16:39,9.658221049,272717986,primary
1121515,41.0830245,-81.515043,12/15/2015 16:39,9.426191736,272717986,primary
1121515,41.083101,-81.5150035,12/15/2015 16:39,9.101774328,272717986,primary
1121515,41.0831765,-81.514966,12/15/2015 16:39,8.870021204,272717986,primary
1121515,41.0832495,-81.5149295,12/15/2015 16:39,8.563237679,272717986,primary
1121515,41.08332,-81.514896,12/15/2015 16:39,8.145777535,272717986,primary
1121515,41.083386,-81.5148645,12/15/2015 16:39,7.744314152,272717986,primary
1121515,41.083451,-81.5148365,12/15/2015 16:39,7.350446153,272717986,primary
1121515,41.083511,-81.514809,12/15/2015 16:39,6.901620004,272717986,primary
1121515,41.0835685,-81.5147845,12/15/2015 16:39,6.451896165,272717986,primary
1121515,41.083621,-81.514761,12/15/2015 16:40,5.973548353,272717986,primary
1121515,41.08367,-81.514741,12/15/2015 16:40,5.51634816,272717986,primary
